Year,"[0,15)","[15,65)","[65,100]"
1950,0.0573343900107187,0.00599875184183356,0
1951,0.0567153469897214,0.00642009273387567,0
1952,0.0557567561915951,0.00657135184880409,0
1953,0.0545690072430275,0.00635977693511193,0
1954,0.0533956749088243,0.00598453956667489,0
1955,0.0521439615709031,0.00567010978362817,0
1956,0.050861960698239,0.00541504789459504,0
1957,0.0499698617804404,0.00537037135741341,0
1958,0.0492959228297966,0.00561021044918885,0
1959,0.0488008113635104,0.00598548583578222,0
1960,0.0483121660906936,0.00628941095244029,0
1961,0.0477819743497907,0.00658670732567423,0
1962,0.0478225854727782,0.00673511748570407,0
1963,0.0488055768946924,0.00668888066408599,0
1964,0.0504666253592305,0.0065494671630291,0
1965,0.0520361086722216,0.00640513977828393,0
1966,0.0536699537156559,0.00628606372807084,0
1967,0.0549162225364862,0.00625503944209888,0
1968,0.0553816298520278,0.00635004433725978,0
1969,0.0553410638634874,0.00651068865071332,0
1970,0.0553084155505175,0.00660934901689537,0
1971,0.0551569938340334,0.00672054627574768,0
1972,0.0550984548901006,0.00677252551207692,0
1973,0.0552567385518786,0.00675142106116132,0
1974,0.0555962681162274,0.00670031472776512,0
1975,0.0558119036507565,0.00662748877277772,0
1976,0.0559069076482964,0.00658819631746453,0
1977,0.0560197880385997,0.00657099029834401,0
1978,0.0560679227966931,0.00658564123850025,0
1979,0.0560719597428974,0.0066227583814664,0
1980,0.0560281674107352,0.00661246856005219,0
1981,0.0558484190893782,0.00662191456734668,0
1982,0.0557072602929184,0.00663028855986757,0
1983,0.0556702273488977,0.00663950592718638,0
1984,0.0557680422013815,0.00665739934847371,0
1985,0.0558611659420147,0.00662766506048336,0
1986,0.0559068856290841,0.00662839835588651,0
1987,0.0560491498897853,0.00664083578141825,0
1988,0.0561902015707198,0.00667206045643001,0
1989,0.0563426704540684,0.00672186601423574,0
1990,0.0565067438834022,0.00674514627168725,0
1991,0.056632724607739,0.00678225107732416,0
1992,0.056984838149823,0.00682435114134612,0
1993,0.0576666458468077,0.00687483233126956,0
1994,0.0585788980687867,0.00693453133228964,0
1995,0.0594680015157972,0.00695828617077101,0
1996,0.0603441842057364,0.0069908466411767,0
1997,0.0610928418266649,0.00702957519072212,0
1998,0.0616026162078947,0.00707981777549327,0
1999,0.0619601657185001,0.00713912176646341,0
2000,0.0623174218085324,0.0071590869547396,0
2001,0.0625936763831652,0.00721147725509907,0
2002,0.062839333351358,0.00722773292040821,0
2003,0.0630085193393378,0.0071914317223519,0
2004,0.0631211585992806,0.0071377410799792,0
2005,0.0631949091751171,0.00707839515304431,0
2006,0.0631788327567716,0.00706800998965063,0
2007,0.0632563061176393,0.00707806944918763,0
2008,0.0634875350064708,0.00710512827013679,0
2009,0.0638574825793415,0.00715959758415253,0
2010,0.0642595716365683,0.00718504642531877,0
2011,0.0646711787342237,0.00722061445205659,0
2012,0.0652142459092944,0.00738191402373964,0
2013,0.0658265101316605,0.00771137719691893,0
2014,0.0664224506785031,0.00813383226655306,0
2015,0.0670048138894775,0.00848626525419593,0
2016,0.0675547608657945,0.00884558299749267,0
2017,0.0679618883357105,0.00911984644448655,0
2018,0.0683050720787367,0.00926991294717246,0
2019,0.0686549326205783,0.00935540388401234,0
2020,0.0690256229346406,0.00939834227071082,0
2021,0.0693007361330487,0.0094774381736239,0
2022,0.069412303798894,0.00958204093192413,0
2023,0.0690921572583567,0.0097211940026334,0
2024,0.0684054842773502,0.00988654173774506,0
2025,0.0676776957443229,0.00999977492717485,0
2026,0.0667948791805607,0.0101380408838818,0
2027,0.0661787267892689,0.0102826993183974,0
2028,0.0661161640463869,0.0104246999945345,0
2029,0.0664699043027422,0.0105718133268014,0
2030,0.0668457891575617,0.0106701166020306,0
2031,0.0672365030261672,0.0107977918625748,0
2032,0.0676037892765487,0.0109551047396841,0
2033,0.0678235134066561,0.0111449628094525,0
2034,0.067938629321159,0.0113618467006685,0
2035,0.0681505331044379,0.0115286169428668,0
2036,0.0683527591278016,0.0117322863276609,0
2037,0.0685805550374434,0.0119443700051593,0
2038,0.0688399518911745,0.0121543984160176,0
2039,0.0691153774715021,0.0123743095901946,0
2040,0.0694168154256775,0.0125429381559911,0
2041,0.0696747917740653,0.0127343408017025,0
2042,0.0698876657754558,0.0129927253690572,0
2043,0.0700244786481897,0.0133382137402875,0
2044,0.0700982341863904,0.0137391249288689,0
2045,0.070184993966746,0.0140647673320607,0
2046,0.0701924924383968,0.014421715309187,0
2047,0.0701658463755248,0.0147560068639907,0
2048,0.0700869517198821,0.0150431836231061,0
2049,0.0699621752726522,0.0153040353602707,0
2050,0.0698439249870913,0.0155031423817995,0
2051,0.0696413099902961,0.0157395415676725,0
2052,0.0694694911152771,0.015968018878739,0
2053,0.0693457051664702,0.0161740542654672,0
2054,0.0692536480573829,0.0163692989492558,0
2055,0.0691904042376312,0.0164944883644844,0
2056,0.0690807882955904,0.0166474764578541,0
2057,0.0690154372890144,0.0168351240528416,0
2058,0.0690048341023021,0.017062782397546,0
2059,0.0690336949476105,0.01731762615723,0
2060,0.0691131618602545,0.0174943568868663,0
2061,0.0691701595100071,0.0176982334519636,0
2062,0.0692367526999063,0.0179215514456935,0
2063,0.0692995134517654,0.018159157908811,0
2064,0.069359191087615,0.0184055203081929,0
2065,0.0694692736064563,0.0185682513899925,0
2066,0.0695465928986664,0.0187503754852068,0
2067,0.0696181178781435,0.0189446225182689,0
2068,0.0696651890941408,0.0191466839400145,0
2069,0.0696891299251142,0.0193461880416233,0
2070,0.0697428978192703,0.0194672584452767,0
2071,0.06975390777691,0.0196376104627207,0
2072,0.0697611475190128,0.0197272723753226,0
2073,0.069760258280676,0.0196789351024442,0
2074,0.0697485363853056,0.019549042260582,0
2075,0.0697569518192084,0.0193572667012729,0
2076,0.0697228381535242,0.0191797667302359,0
2077,0.0696865283597441,0.0191256250284459,0
2078,0.0696421126412897,0.0192545735853613,0
2079,0.0695869848137712,0.0195002841998999,0
2080,0.0695521156227807,0.0196583585983927,0
2081,0.069480343025163,0.019853822330962,0
2082,0.0694152425725402,0.0200427380751198,0
2083,0.069357571813308,0.0201955203241499,0
2084,0.0693043434305387,0.0203275289899244,0
2085,0.0692781753609198,0.0204024537897625,0
2086,0.0692256651638623,0.0205093613281914,0
2087,0.0691898665807584,0.0206329683017455,0
2088,0.0691682338970583,0.0207710166614665,0
2089,0.0691539788935435,0.0209151021015599,0
2090,0.0691717263982607,0.020986036795503,0
2091,0.0691708447451491,0.0210801116170873,0
2092,0.0691798913675194,0.0211710899118309,0
2093,0.0691987229262841,0.0212465305994627,0
2094,0.0692233729918654,0.0213082819524949,0
2095,0.0692820922536295,0.0213032889193458,0
2096,0.0693206758634867,0.0213206011004615,0
2097,0.069350671589381,0.021338766139253,0
2098,0.0693577534865721,0.021350173524821,0
2099,0.0693419464295539,0.0213557321800947,0
2100,0,0,0
