Year,AgeGrp,pop,mort_rate,ao_rate
1950,"[0,15)",141086.266,0.013858762127846,0.0573343900107187
1950,"[15,65)",223426.812,0.0195652883414905,0.00599875184183356
1950,"[65,100]",11811.085020373,0.0901498243206868,0
1951,"[0,15)",144353.397,0.0160809724484696,0.0567153469897214
1951,"[15,65)",225804.215,0.0197114168130121,0.00642009273387567
1951,"[65,100]",12086.5997807497,0.0947857618720053,0
1952,"[0,15)",148056.192,0.0201886389189316,0.0557567561915951
1952,"[15,65)",228090.663,0.0177712666826699,0.00657135184880409
1952,"[65,100]",12390.6462120893,0.0976677486300691,0
1953,"[0,15)",151686.157,0.0235021050734379,0.0545690072430275
1953,"[15,65)",230793.472,0.015379312808293,0.00635977693511193
1953,"[65,100]",12679.3436924829,0.100572192504788,0
1954,"[0,15)",155150.394,0.0244128738725601,0.0533956749088243
1954,"[15,65)",234053.595,0.0136346463723405,0.00598453956667489
1954,"[65,100]",12871.9492978081,0.104817631325592,0
1955,"[0,15)",158598.575,0.0145340460971985,0.0521439615709031
1955,"[15,65)",237746.014,0.0192321121312259,0.00567010978362817
1955,"[65,100]",12923.4450618688,0.0851004780550434,0
1956,"[0,15)",163460.411,0.0161812207850132,0.050861960698239
1956,"[15,65)",240095.568,0.0157072828599652,0.00541504789459504
1956,"[65,100]",13171.6997089856,0.086064249024261,0
1957,"[0,15)",167783.634,0.0150743427097306,0.0499698617804404
1957,"[15,65)",243338.107,0.0139030834163595,0.00537037135741341
1957,"[65,100]",13338.2162651587,0.0890335469415901,0
1958,"[0,15)",171990.735,0.0123723466848374,0.0492959228297966
1958,"[15,65)",247032.266,0.0134250721725558,0.00561021044918885
1958,"[65,100]",13457.4835611976,0.0934871428329242,0
1959,"[0,15)",176419.075,0.00995904779571029,0.0488008113635104
1959,"[15,65)",250808.379,0.013352835393111,0.00598548583578222
1959,"[65,100]",13585.2848733402,0.0983688908295781,0
1960,"[0,15)",181161.842,0.00967920164998104,0.0483121660906936
1960,"[15,65)",254567.56,0.0138505903894432,0.00628941095244029
1960,"[65,100]",13750.1254687459,0.0787659310444508,0
1961,"[0,15)",186032.79,0.00899995640553473,0.0477819743497907
1961,"[15,65)",258192.89,0.0140589735062031,0.00658670732567423
1961,"[65,100]",14268.1640342221,0.0822787366793758,0
1962,"[0,15)",191305.236,0.00980465584329329,0.0478225854727782
1962,"[15,65)",261751.336,0.013728445687857,0.00673511748570407
1962,"[65,100]",14794.8385227522,0.0852981521648751,0
1963,"[0,15)",196687.379,0.0119952790666858,0.0488055768946924
1963,"[15,65)",265543.682,0.012489150466777,0.00668888066408599
1963,"[65,100]",15295.7921351837,0.0875821486050091,0
1964,"[0,15)",201700.568,0.0141015567194635,0.0504666253592305
1964,"[15,65)",270050.518,0.010990554737614,0.0065494671630291
1964,"[65,100]",15732.3437953687,0.0898408426977988,0
1965,"[0,15)",206120.678,0.0105065247262577,0.0520361086722216
1965,"[15,65)",275492.973,0.0139641964660928,0.00640513977828393
