Index,Year,"pop_[0,15)","pop_[15,65)","pop_[65,100]","mort_rate_[0,15)","mort_rate_[15,65)","mort_rate_[65,100]","ao_rate_[0,15)","ao_rate_[15,65)","ao_rate_[65,100]",B,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
1,1900,141086.266,223426.812,11811.085020373,0.00695355704168899,0.00983096813801054,0.0461393310974012,0,0,0,12172.586,141086.266,223426.812,11811.085020373,376324.163020373
2,1900,141086.266,223426.812,11811.085020373,0.00695355704168899,0.00983096813801054,0.0461393310974012,0.0577358596038248,0.006058310903294,0,0,140105.21460157,221230.310130051,11266.1294579985,372601.654189619
3,1901,144353.397,225804.215,12086.5997807497,0.00807307348195741,0.00990476054725531,0.0485725260809448,0,0,0,13311.507,144353.397,225804.215,12086.5997807497,382244.21178075
4,1901,144353.397,225804.215,12086.5997807497,0.00807307348195741,0.00990476054725531,0.0485725260809448,0.0571769406329245,0.00648431835448906,0,0,143188.021418649,223567.678319864,11499.5230976693,378255.222836182
5,1902,148056.192,228090.663,12390.6462120893,0.0101457879661933,0.00892546530680649,0.0500882928556302,0,0,0,14211.191,148056.192,228090.663,12390.6462120893,388537.501212089
6,1902,148056.192,228090.663,12390.6462120893,0.0101457879661933,0.00892546530680649,0.0500882928556302,0.0563282506794959,0.00663053243602751,0,0,146554.045268886,226054.847700587,11770.0198959477,384378.912865421
7,1903,151686.157,230793.472,12679.3436924829,0.0118209196068952,0.00771945136886465,0.0516183218264853,0,0,0,14874.151,151686.157,230793.472,12679.3436924829,395158.972692483
8,1903,151686.157,230793.472,12679.3436924829,0.0118209196068952,0.00771945136886465,0.0516183218264853,0.0552217794585568,0.00640925285080447,0,0,149893.087132624,229011.873016645,12024.8572492157,390929.817398484
9,1904,155150.394,234053.595,12871.9492978081,0.0122818589661118,0.00684072091750587,0.0538592236488229,0,0,0,15306.544,155150.394,234053.595,12871.9492978081,402075.938297808
10,1904,155150.394,234053.595,12871.9492978081,0.0122818589661118,0.00684072091750587,0.0538592236488229,0.0540596276311506,0.00602576010990257,0,0,153244.858742355,232452.499676866,12178.6761017812,397876.034521003
11,1905,158598.575,237746.014,12923.4450618688,0.00729362150593516,0.00966274034106229,0.0434961986772051,0,0,0,15520.208,158598.575,237746.014,12923.4450618687,409268.034061869
12,1905,158598.575,237746.014,12923.4450618688,0.00729362150593516,0.00966274034106229,0.0434961986772051,0.0525270741687039,0.00572543315756988,0,0,157441.817022569,235448.735999595,12361.3243278638,405251.877350029
13,1906,163460.411,240095.568,13171.6997089856,0.00812360688693326,0.00788472588109257,0.0440001302428232,0,0,0,15436.873,163460.411,240095.568,13171.6997089856,416727.678708986
14,1906,163460.411,240095.568,13171.6997089856,0.00812360688693326,0.00788472588109257,0.0440001302428232,0.0512785272957304,0.00545808338592924,0,0,162132.52287946,238202.480261055,12592.1432062709,412927.146346785
15,1907,167783.634,243338.107,13338.2162651587,0.00756579195884755,0.00697587311101022,0.0455543739644411,0,0,0,15282.129,167783.634,243338.107,13338.2162651587,424459.957265159
16,1907,167783.634,243338.107,13338.2162651587,0.00756579195884755,0.00697587311101022,0.0455543739644411,0.0503508054998124,0.00540809755976228,0,0,166514.217931057,241640.611242495,12730.6021733971,420885.431346948
17,1908,171990.735,247032.266,13457.4835611976,0.00620542700457327,0.00673521766477381,0.0478903124287224,0,0,0,15120.454,171990.735,247032.266,13457.4835611976,432480.484561198
18,1908,171990.735,247032.266,13457.4835611976,0.00620542700457327,0.00673521766477381,0.0478903124287224,0.0496037351876578,0.00564825266028149,0,0,170923.459048495,245368.449918268,12813.0004689475,429104.90943571
19,1909,176419.075,250808.379,13585.2848733402,0.00499198384923061,0.00669885502588441,0.0504574210861201,0,0,0,15034.711,176419.075,250808.379,13585.2848733402,440812.73887334
20,1909,176419.075,250808.379,13585.2848733402,0.00499198384923061,0.00669885502588441,0.0504574210861201,0.049045646438406,0.00602585214571378,0,0,175538.393826904,249128.250029802,12899.8064339112,437566.450290617
21,1910,181161.842,254567.56,13750.1254687459,0.00485136871419101,0.0069494425707437,0.0401906080082622,0,0,0,15109.127,181161.842,254567.56,13750.1254687459,449479.527468746
22,1910,181161.842,254567.56,13750.1254687459,0.00485136871419101,0.0069494425707437,0.0401906080082622,0.048547688829427,0.00633342472383471,0,0,180282.959107516,252798.457361406,13197.4995659671,446278.916034889
23,1911,186032.79,258192.89,14268.1640342221,0.00451014892442758,0.00705436881277477,0.0420223054159225,0,0,0,15376.771,186032.79,258192.89,14268.1640342221,458493.844034222
24,1911,186032.79,258192.89,14268.1640342221,0.00451014892442758,0.00705436881277477,0.0420223054159225,0.0479984545278537,0.00663350249882138,0,0,185193.754412273,256371.502129104,13668.5828874515,455233.839428829
25,1912,191305.236,261751.336,14794.8385227522,0.00491440360303341,0.00688794473526655,0.0435995358454049,0,0,0,15835.747,191305.236,261751.336,14794.8385227522,467851.410522752
26,1912,191305.236,261751.336,14794.8385227522,0.00491440360303341,0.00688794473526655,0.0435995358454049,0.0480587656438155,0.00678183035841679,0,0,190365.084858923,259948.40726325,14149.7904302525,464463.282552425
