Year,"[0,15)","[15,65)","[65,100]"
1950,0.013858762127846,0.0195652883414905,0.0901498243206868
1951,0.0160809724484696,0.0197114168130121,0.0947857618720053
1952,0.0201886389189316,0.0177712666826699,0.0976677486300691
1953,0.0235021050734379,0.015379312808293,0.100572192504788
1954,0.0244128738725601,0.0136346463723405,0.104817631325592
1955,0.0145340460971985,0.0192321121312259,0.0851004780550434
1956,0.0161812207850132,0.0157072828599652,0.086064249024261
1957,0.0150743427097306,0.0139030834163595,0.0890335469415901
1958,0.0123723466848374,0.0134250721725558,0.0934871428329242
1959,0.00995904779571029,0.013352835393111,0.0983688908295781
1960,0.00967920164998104,0.0138505903894432,0.0787659310444508
1961,0.00899995640553473,0.0140589735062031,0.0822787366793758
1962,0.00980465584329329,0.013728445687857,0.0852981521648751
1963,0.0119952790666858,0.012489150466777,0.0875821486050091
1964,0.0141015567194635,0.010990554737614,0.0898408426977988
1965,0.0105065247262577,0.0139641964660928,0.0768404306501707
1966,0.0117091766171473,0.0120990745344054,0.0782711013355627
1967,0.0120644582802275,0.0104771785118616,0.0800633462265505
1968,0.0114497644094194,0.00933668744416485,0.0823556270803547
1969,0.0105780694094031,0.00844346325357225,0.0848238443124583
1970,0.0075847569366362,0.00995067436691097,0.0733892066354189
1971,0.00782776411694523,0.00867308620341413,0.0747888662553228
1972,0.00831405471415099,0.00763513978311478,0.0763732248751939
1973,0.00915090431816913,0.0067175679284079,0.0780333304576435
1974,0.00997528205487292,0.00596973744833801,0.0798169397090331
1975,0.00643704261829824,0.00882098337599598,0.0710210252979701
1976,0.00739974889758112,0.00766350630517802,0.0722976927911481
1977,0.00782326101006089,0.00675361481700546,0.0737752079743097
1978,0.0076919419352713,0.00615776915358147,0.0755005163020226
1979,0.00742854929006416,0.00575974626956038,0.0773370616114414
1980,0.00491619280449409,0.00768642314729193,0.0704323465413665
1981,0.00543234445034732,0.00727171248673062,0.0724508904936757
1982,0.00634013793511382,0.0068304024206603,0.0744335926511437
1983,0.00763971977572323,0.00621439864386708,0.0761932451919537
1984,0.00878483798589479,0.00557471559157585,0.0778203352465949
1985,0.0051103385511704,0.00828755916573178,0.0714740496921469
1986,0.00607166858739599,0.00706360727242649,0.0727602865998971
1987,0.00623564044215127,0.00622324018535436,0.0743566258866804
1988,0.00571844209938108,0.00582071229898343,0.0763016721562188
1989,0.00510727248980972,0.00559359266018851,0.0783182758082625
1990,0.0036410707719383,0.00696855159844067,0.0669104567713244
1991,0.0036328936449865,0.00660822732805936,0.0684870134491269
1992,0.00376627670144849,0.00620150909709505,0.0699658489539369
1993,0.00406542284153258,0.0056920126830639,0.0712402618202555
1994,0.00435362229155768,0.00519776094719373,0.0723699154271592
1995,0.00298652198979898,0.00643427766030082,0.06334301168767
1996,0.00326003190919742,0.00600914939969574,0.0644438317204386
1997,0.00367565230994702,0.00559245310991964,0.065425853543137
1998,0.00416221081162341,0.00521265697500723,0.0662998932873169
1999,0.0045910748208015,0.00489843796387025,0.0670802807851581
2000,0.00262956256581167,0.00633352307638466,0.0620330189554398
2001,0.00317848299175361,0.00583525507423189,0.0628795570658186
2002,0.00346464027058386,0.00545904905939466,0.0637109163824038
2003,0.00350347225697974,0.00520510336544769,0.0645237661742892
2004,0.00345062128194193,0.0050160909147461,0.0652614448228658
2005,0.00210848578896443,0.00595249137683956,0.0603474481346084
2006,0.0022898747004487,0.00566242971031849,0.0613409921872357
2007,0.00251410185684655,0.00542849267224677,0.062241725063191
2008,0.00288371244473373,0.00516694025668979,0.0629648589322146
2009,0.00322472450361034,0.00488419186663086,0.0635150056493742
2010,0.0018771527041016,0.00574184773415105,0.0583421050685389
2011,0.00208720515134508,0.00519471930759288,0.0589102753792688
2012,0.00172529664467864,0.00481213113704715,0.0595043028058364
2013,0.000767904700138318,0.00470839289934515,0.0601583584995806
2014,-0.00015138941124975,0.00475272354555488,0.0606128002377399
2015,0.000727649537812422,0.00471574099137971,0.056609629541968
2016,0.000197929033102027,0.00513120416821753,0.0576877638317034
2017,0.000839209631097106,0.00522559599649415,0.0582300931027631
2018,0.00259027642065218,0.00487809611412191,0.0581611310703371
2019,0.00435190223029871,0.00438223904062538,0.0577410447205463
2020,0.00159603674022752,0.00554754067667032,0.0560183163624486
2021,0.002823751593414,0.00474180776195671,0.0559294732800692
2022,0.00298704381723912,0.00424624770686699,0.0559739908671278
2023,0.00203871867227088,0.00418383943919994,0.0562650726182357
2024,0.000935041402900522,0.0042989600199988,0.0564996804633891
2025,0.000602224517853245,0.0045509056148922,0.0544610467874353
2026,0.000282933022621762,0.00459101832544409,0.0552019348086781
2027,0.000343650239898619,0.00458975587063187,0.0557333628585077
2028,0.000950206719198572,0.00443965577690125,0.0559626937128539
2029,0.00164601121438457,0.00424268203755117,0.0559395869827131
2030,0.000782477633213546,0.00475662599823812,0.0541825842296304
2031,0.00107869648954113,0.00453594900152861,0.0546755984043308
2032,0.00126891696794622,0.00435067137365654,0.0550469035871404
2033,0.00127906829866049,0.00424667420154417,0.0553334638834253
2034,0.00126810846239421,0.00418731563448257,0.0554502409159888
2035,0.000603913900395641,0.00461224699414789,0.0538743755002963
2036,0.000690177029677378,0.00448939238130003,0.0544162396625559
2037,0.000816951638935675,0.0043704313745783,0.054790432649024
2038,0.000988297932521957,0.00424872951042666,0.0549969457805772
2039,0.00116809051845736,0.00413825060244882,0.0550495265308325
2040,0.000579759069830465,0.00460050256171982,0.0530610767176305
2041,0.000713649581136246,0.00446183564813613,0.0535215341375211
2042,0.000923065172933394,0.00432535958839491,0.0538318583140445
2043,0.00117873114327441,0.00419355374533607,0.0539921278351378
2044,0.00142685470087904,0.00407819760019363,0.0539688452924453
2045,0.000587511937684923,0.00460132555625601,0.0520955524950474
2046,0.000842019146485558,0.0044070230470504,0.0524167589225103
2047,0.00105388839163621,0.00423924744758341,0.0526176108540836
2048,0.00122815405100673,0.00410308384008818,0.0527005689712029
2049,0.00138737059303194,0.00399835085063251,0.052526455637826
2050,0.000522769390479572,0.00446916158633425,0.0509923242032562
2051,0.000733224385503052,0.00426238408348012,0.0512814810928939
2052,0.000883235897693683,0.00410398913555475,0.0514267449861877
2053,0.000999019419634562,0.00398841769518872,0.0514637395382385
2054,0.00111621143775156,0.00390376004120588,0.0513132026188178
2055,0.000442000875927682,0.00429175787447632,0.0501503141918023
