Year,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
1900,141086.266,223426.812,11811.085020373,376324.163020373
1901,144353.397,225804.215,12086.5997807497,382244.21178075
1902,148056.192,228090.663,12390.6462120893,388537.501212089
1903,151686.157,230793.472,12679.3436924829,395158.972692483
1904,155150.394,234053.595,12871.9492978081,402075.938297808
1905,158598.575,237746.014,12923.4450618687,409268.034061869
1906,163460.411,240095.568,13171.6997089856,416727.678708986
1907,167783.634,243338.107,13338.2162651587,424459.957265159
1908,171990.735,247032.266,13457.4835611976,432480.484561198
1909,176419.075,250808.379,13585.2848733402,440812.73887334
1910,181161.842,254567.56,13750.1254687459,449479.527468746
1911,186032.79,258192.89,14268.1640342221,458493.844034222
1912,191305.236,261751.336,14794.8385227522,467851.410522752
1913,196687.379,265543.682,15295.7921351837,477526.853135184
1914,201700.568,270050.518,15732.3437953687,487483.429795369
1915,206120.678,275492.973,16087.6237711813,497701.274771181
1916,210937.633,280607.082,16616.0148324658,508160.729832466
1917,215039.991,286769.095,17079.3750517207,518888.461051721
1918,218680.22,293779.996,17505.6951336217,529965.911133622
1919,222291.697,301282.415,17929.5186334147,541503.630633415
1920,226128.011,309078.851,18370.2239362566,553577.085936257
1921,230691.162,316467.28,19064.8577758598,566223.29977586
1922,235324.167,324319.93,19765.8516774842,579409.948677485
1923,239991.363,332613.235,20452.73484247,593057.33284247
1924,244551.882,341394.411,21102.351825745,607048.644825745
1925,248929.531,350665.098,21705.4766823507,621300.105682351
1926,254140.921,359141.089,22487.960473789,635769.970473789
1927,259023.954,368230.95,23228.2248159555,650483.128815956
1928,263731.19,377834.885,23934.1996992844,665500.274699285
1929,268491.454,387806.84,24615.4402647127,680913.734264713
1930,273441.676,398059.662,25280.1054443678,696781.443444368
1931,279295.802,407688.286,26131.7252971078,713115.813297108
1932,285305.307,417622.246,26938.1355291963,729865.688529196
1933,291350.346,427894.339,27701.9893224348,746946.674322435
1934,297196.716,438613.766,28432.2918576856,764242.773857686
1935,302701.863,449822.671,29139.7083734915,781664.242373492
1936,309117.827,460022.744,30038.2494091899,799178.82040919
1937,314882.171,471005.925,30901.8717732181,816789.967773218
1938,320158.702,482595.747,31731.9858545787,834486.434854579
1939,325179.83,494556.57,32530.6902730369,852267.090273037
1940,330035.881,506787.379,33307.2857,870130.5457
1941,335068.163,518486.703,34497.035,888051.901000001
1942,339847.574,530519.741,35650.9431,906018.2581
1943,344302.685,542975.424,36777.0476,924055.1566
1944,348305.135,556006.717,37889.9061,942201.7581
1945,351812.243,569664.412,39003.4628,960480.1178
1946,355436.705,582956.716,40496.754,978890.175
1947,358612.537,596826.819,41962.349,997401.705
1948,361355.075,611202.313,43412.3655,1015969.7535
1949,363723.543,625949.542,44861.3313,1034534.4163
1950,141086.266,223426.812,11811.085020373,376324.163020373
1951,144353.397,225804.215,12086.5997807497,382244.21178075
1952,148056.192,228090.663,12390.6462120893,388537.501212089
1953,151686.157,230793.472,12679.3436924829,395158.972692483
1954,155150.394,234053.595,12871.9492978081,402075.938297808
1955,158598.575,237746.014,12923.4450618687,409268.034061869
1956,163460.411,240095.568,13171.6997089856,416727.678708986
1957,167783.634,243338.107,13338.2162651587,424459.957265159
1958,171990.735,247032.266,13457.4835611976,432480.484561198
1959,176419.075,250808.379,13585.2848733402,440812.73887334
1960,181161.842,254567.56,13750.1254687459,449479.527468746
1961,186032.79,258192.89,14268.1640342221,458493.844034222
1962,191305.236,261751.336,14794.8385227522,467851.410522752
1963,196687.379,265543.682,15295.7921351837,477526.853135184
1964,201700.568,270050.518,15732.3437953687,487483.429795369
1965,206120.678,275492.973,16087.6237711813,497701.274771181
1966,210937.633,280607.082,16616.0148324658,508160.729832466
1967,215039.991,286769.095,17079.3750517207,518888.461051721
1968,218680.22,293779.996,17505.6951336217,529965.911133622
1969,222291.697,301282.415,17929.5186334147,541503.630633415
1970,226128.011,309078.851,18370.2239362566,553577.085936257
1971,230691.162,316467.28,19064.8577758598,566223.29977586
1972,235324.167,324319.93,19765.8516774842,579409.948677485
1973,239991.363,332613.235,20452.73484247,593057.33284247
