Year,"[0,15)","[15,65)","[65,100]"
1950,141086.266,223426.812,11811.085020373
1951,144353.397,225804.215,12086.5997807497
1952,148056.192,228090.663,12390.6462120893
1953,151686.157,230793.472,12679.3436924829
1954,155150.394,234053.595,12871.9492978081
1955,158598.575,237746.014,12923.4450618688
1956,163460.411,240095.568,13171.6997089856
1957,167783.634,243338.107,13338.2162651587
1958,171990.735,247032.266,13457.4835611976
1959,176419.075,250808.379,13585.2848733402
1960,181161.842,254567.56,13750.1254687459
1961,186032.79,258192.89,14268.1640342221
1962,191305.236,261751.336,14794.8385227522
1963,196687.379,265543.682,15295.7921351837
1964,201700.568,270050.518,15732.3437953687
1965,206120.678,275492.973,16087.6237711813
1966,210937.633,280607.082,16616.0148324658
1967,215039.991,286769.095,17079.3750517207
1968,218680.22,293779.996,17505.6951336217
1969,222291.697,301282.415,17929.5186334147
1970,226128.011,309078.851,18370.2239362566
1971,230691.162,316467.28,19064.8577758598
1972,235324.167,324319.93,19765.8516774843
1973,239991.363,332613.235,20452.73484247
1974,244551.882,341394.411,21102.351825745
1975,248929.531,350665.098,21705.4766823507
1976,254140.921,359141.089,22487.960473789
1977,259023.954,368230.95,23228.2248159555
1978,263731.19,377834.885,23934.1996992844
1979,268491.454,387806.84,24615.4402647127
1980,273441.676,398059.662,25280.1054443678
1981,279295.802,407688.286,26131.7252971078
1982,285305.307,417622.246,26938.1355291963
1983,291350.346,427894.339,27701.9893224348
1984,297196.716,438613.766,28432.2918576856
1985,302701.863,449822.671,29139.7083734915
1986,309117.827,460022.744,30038.2494091899
1987,314882.171,471005.925,30901.871773218
1988,320158.702,482595.747,31731.9858545787
1989,325179.83,494556.57,32530.6902730369
1990,330035.881,506787.379,33307.2857
1991,335068.163,518486.703,34497.035
1992,339847.574,530519.741,35650.9431
1993,344302.685,542975.424,36777.0476
1994,348305.135,556006.717,37889.9061
1995,351812.243,569664.412,39003.4628
1996,355436.705,582956.716,40496.754
1997,358612.537,596826.819,41962.349
1998,361355.075,611202.313,43412.3655
1999,363723.543,625949.542,44861.3313
2000,365773.765,640951.008,46320.7506
2001,368339.237,655096.984,48035.9586
2002,370455.776,669605.816,49739.6958
2003,372221.586,684389.867,51410.4662
2004,373755.592,699358.935,53015.0123
2005,375114.219,714450.93,54547.019
2006,376811.884,728846.31,56312.4116
2007,378289.367,743374.311,58009.6454
2008,379470.915,758006.442,59660.68
2009,380174.492,772795.808,61289.8867
2010,380274.337,787765.404,62929.9662
2011,380287.007,802018.31,64918.6305
2012,379512.707,816654.594,66885.3211
2013,378168.02,831445.906,68933.8307
2014,376631.361,846013.02,71198.4776
2015,375144.882,860127.604,73764.2665
2016,373356.04,873908.707,76887.7697
2017,372060.792,886916.249,80182.5182
2018,370948.441,899478.997,83602.0227
2019,369543.688,912090.82,87077.7265
2020,367656.95,924931.839,90582.7456
2021,366707.894,936485.666,94201.2787
2022,364994.311,948582.673,97808.1358
2023,362902.94,960800.494,101422.7821
2024,361028.933,972514.278,105056.3499
2025,359641.618,983415.034,108735.5027
2026,358593.702,993445.392,112647.5824
2027,358003.533,1002765.099,116500.8079
2028,357656.911,1011543.738,120318.9581
2029,357127.579,1020154.695,124130.6251
2030,356182.705,1028779.854,127971.6942
2031,355336.282,1036718.446,132015.0581
2032,354107.488,1044713.243,135991.3258
