Time,PopTotal
1950,12172.585
1951,13379.402
1952,14327.618
1953,15019.601
1954,15462.202
1955,15668.275
1956,15559.664
1957,15372.306
1958,15175.793
1959,15059.711
1960,15115.131
1961,15383.233
1962,15855.856
1963,16447.383
1964,17031.562
1965,17513.322
1966,17776.403
1967,17951.848
1968,18088.941
1969,18259.941
1970,18518.234
1971,18817.234
1972,19204.264
1973,19643.724
1974,20085.593
1975,20493.558
1976,20796.833
1977,21070.103
1978,21349.505
1979,21687.051
1980,22115.736
1981,22637.937
1982,23245.852
1983,23868.901
1984,24412.325
1985,24808.503
1986,24987.075
1987,25033.2
1988,24993.702
1989,24941.264
1990,24933.252
1991,24974.739
1992,25061.155
1993,25186.99
1994,25338.959
1995,25503.547
1996,25666.372
1997,25844.341
1998,26020.932
1999,26173.863
2000,26285.975
2001,26335.75
2002,26339.246
2003,26307.399
2004,26258.643
2005,26204.506
2006,26168.958
2007,26141.503
2008,26067.993
2009,25876.803
2010,25526.018
2011,24966.213
2012,24256.159
2013,23523.153
2014,22942.217
2015,22634.707
2016,22693.634
2017,23019.325
2018,23484.799
2019,23904.724
2020,24143.052
2021,24139.062
2022,23958.973
2023,23667.279
2024,23366.29
2025,23133.018
2026,23004.504
2027,22933.144
2028,22894.269
2029,22849.499
2030,22769.934
2031,22667.587
2032,22537.348
2033,22378.269
2034,22191
2035,21977.436
2036,21750.431
2037,21497.401
2038,21231.364
2039,20969.645
2040,20725.207
2041,20519.484
2042,20332.929
2043,20163.207
2044,20005.011
2045,19853.838
2046,19722.263
2047,19598.006
2048,19479.456
2049,19364.537
2050,19251.131
2051,19152.052
2052,19053.36
2053,18950.908
2054,18839.916
2055,18717.237
2056,18593.882
2057,18458.089
2058,18313.988
2059,18167.828
2060,18023.946
2061,17899.089
2062,17777.102
2063,17652.544
2064,17517.659
2065,17367.282
2066,17211.049
2067,17040.994
2068,16863.882
2069,16689.155
2070,16523.709
2071,16380.856
2072,16247.937
2073,16123.117
2074,16003.038
2075,15884.881
2076,15777.405
2077,15673.282
2078,15570.25
2079,15465.391
2080,15356.615
2081,15249.172
2082,15137.902
2083,15026.156
2084,14918.861
2085,14819.135
2086,14735.991
2087,14661
2088,14588.294
2089,14509.825
2090,14419.805
2091,14322.729
2092,14215.629
2093,14101.984
2094,13985.753
2095,13870.102
2096,13763.97
2097,13663.021
2098,13566.086
2099,13470.571
2100,13372.348
